i18n=>,en_US,zh_CN,es_ES,fr_FR,pt_PT,ar,ru_RU,th_TH,id_ID,de_DE,it_IT,km_KH,ko_KR,ms_MY,vi_VN
record-permission-enabled,Recording permission is not enabled,录音权限未开启,El permiso de grabación no está habilitado,L'autorisation d'enregistrement n'est pas activée,A permissão de gravação não está habilitada,لم يتم تمكين إذن التسجيل,Разрешение на запись не включено,ไม่ได้เปิดใช้งานการอนุญาตการบันทึก,Izin perekaman tidak diaktifkan,Die Aufnahmeberechtigung ist nicht aktiviert,L'autorizzazione alla registrazione non è abilitata,ការអនុញ្ញាតថតមិនត្រូវបានបើកទេ។,녹음 권한이 없습니다,"Kebenaran rakaman tidak diaktifkan","Chưa bật quyền ghi âm"
cancel,Cancel,取消,Cancelar,Annuler,Cancelar,إلغاء,Отмена,ยกเลิก,Batal,Abbrechen,Annulla,លុបចោល។,취소,"Batal","Hủy"
confirm,Confirm,确认,Confirmar,Confirmer,Confirmar,تأكيد,Подтвердить,ยืนยัน,Konfirmasi,Bestätigen,Confermare,បញ្ជាក់,확인,"Sahkan","Xác nhận"
network-error,Outlet Error,网络错误,Error de red,Erreur réseau,Erro na rede,خطأ في الشبكة,Ошибка сети,ข้อผิดพลาดของเครือข่าย,Kesalahan Jaringan,Netzwerkfehler,Errore di rete,កំហុសបណ្តាញ,네트워크 오류,"Ralat rangkaian","Lỗi mạng"
loading,Loading...,加载中...,Cargando…,Chargement en cours...,Carregando...,جارٍ التحميل...,Загрузка…,กําลังโหลด...,Pemuatan…,Laden ...,Caricamento...,កំពុងផ្ទុក...,로딩 중...,"Sedang Memuatkan...","Đang tải..."
ai-assistant-greeting,"Hello, I'm your AI Assistant","你好，我是你的AI助手","Hola, soy tu Asistente de IA","Bonjour, je suis votre Assistant IA","Olá, sou seu Assistente de IA","مرحباً، أنا مساعدك الذكي","Привет, я ваш ИИ-помощник","สวัสดีครับ ผมคือผู้ช่วย AI ของคุณ","Halo, saya adalah Asisten AI Anda","Hallo, ich bin Ihr KI-Assistent","Ciao, sono il tuo Assistente IA","សួស្តី ខ្ញុំជាអ្នកជំនួយ AI របស់អ្នក","안녕하세요, 저는 AI 어시스턴트입니다","Halo, saya ialah Pembantu AI anda","Xin chào, tôi là Trợ lý AI của bạn"
ai-assistant-description,"I can help check device status, analyze data, and answer questions","我可以帮助检查设备状态、分析数据和回答问题","Puedo ayudar a verificar el estado del dispositivo, analizar datos y responder preguntas","Je peux aider à vérifier l'état des appareils, analyser les données et répondre aux questions","Posso ajudar a verificar o status do dispositivo, analisar dados e responder perguntas","يمكنني المساعدة في فحص حالة الجهاز وتحليل البيانات والإجابة على الأسئلة","Я могу помочь проверить статус устройств, проанализировать данные и ответить на вопросы","ฉันสามารถช่วยตรวจสอบสถานะอุปกรณ์ วิเคราะห์ข้อมูล และตอบคำถามได้","Saya dapat membantu memeriksa status perangkat, menganalisis data, dan menjawab pertanyaan","Ich kann helfen, den Gerätestatus zu überprüfen, Daten zu analysieren und Fragen zu beantworten","Posso aiutare a controllare lo stato del dispositivo, analizzare i dati e rispondere alle domande","ខ្ញុំអាចជួយពិនិត្យស្ថានភាពឧបករណ៍ វិភាគទិន្នន័យ និងឆ្លើយសំណួរ","장치 상태 확인, 데이터 분석 및 질문에 답변할 수 있습니다","Saya boleh membantu menyemak status peranti, menganalisis data dan menjawab soalan","Tôi có thể giúp kiểm tra trạng thái thiết bị, phân tích dữ liệu và trả lời câu hỏi"
ai-click-to-explore,"Click the icon above to explore","点击上方图标开始探索","Haz clic en el icono de arriba para explorar","Cliquez sur l'icône ci-dessus pour explorer","Clique no ícone acima para explorar","انقر على الأيقونة أعلاه للاستكشاف","Нажмите на иконку выше, чтобы начать","คลิกไอคอนด้านบนเพื่อเริ่มสำรวจ","Klik ikon di atas untuk menjelajahi","Klicken Sie auf das Symbol oben, um zu erkunden","Clicca sull'icona sopra per esplorare","ចុចរូបសញ្ញាខាងលើដើម្បីរុករក","위 아이콘을 클릭하여 탐색하세요","Klik ikon di atas untuk meneroka","Nhấp vào biểu tượng phía trên để khám phá"
ai-enterprise-agents,Enterprise AI Agents,企业AI智能体,Agentes de IA Empresariales,Agents IA d'Entreprise,Agentes de IA Empresariais,وكلاء الذكاء الاصطناعي للمؤسسات,Корпоративные ИИ-агенты,เอเจนต์ AI สำหรับองค์กร,Agen AI Perusahaan,Unternehmens-KI-Agenten,Agenti IA Aziendali,ភ្នាក់ងារ AI សម្រាប់សហគ្រាស,엔터프라이즈 AI 에이전트,"Ejen AI Perusahaan","Đại lý AI Doanh nghiệp"
ai-ask-example-title,"You can ask me like this","你可以这样问我","Puedes preguntarme así","Vous pouvez me demander comme ceci","Você pode me perguntar assim","يمكنك أن تسألني هكذا","Вы можете спросить меня так","คุณสามารถถามฉันแบบนี้ได้","Anda bisa bertanya seperti ini","Sie können mich so fragen","Puoi chiedermi così","អ្នកអាចសួរខ្ញុំដូចនេះ","이렇게 물어볼 수 있습니다","Anda boleh bertanya kepada saya seperti ini","Bạn có thể hỏi tôi như thế này"
ai-ask-example-text,"Show devices with longest working hours this week","显示本周工作时间最长的设备","Mostrar dispositivos con más horas de trabajo esta semana","Afficher les appareils avec les heures de travail les plus longues cette semaine","Mostrar dispositivos com mais horas de trabalho nesta semana","إظهار الأجهزة التي لديها أطول ساعات عمل هذا الأسبوع","Показать устройства с наибольшим временем работы на этой неделе","แสดงอุปกรณ์ที่มีชั่วโมงทำงานยาวนานที่สุดในสัปดาห์นี้","Tampilkan perangkat dengan jam kerja terlama minggu ini","Geräte mit den längsten Arbeitsstunden diese Woche anzeigen","Mostra dispositivi con più ore di lavoro questa settimana","បង្ហាញឧបករណ៍ដែលមានម៉ោងធ្វើការយូរបំផុតនៅសប្តាហ៍នេះ","이번 주 근무 시간이 가장 긴 장치 표시","Tunjukkan peranti dengan jam kerja terpanjang minggu ini","Hiển thị thiết bị có giờ làm việc dài nhất trong tuần này"
ai-input-placeholder,"Enter your question...","输入您的问题...","Ingresa tu pregunta...","Entrez votre question...","Digite sua pergunta...","أدخل سؤالك...","Введите ваш вопрос...","ใส่คำถามของคุณ...","Masukkan pertanyaan Anda...","Geben Sie Ihre Frage ein...","Inserisci la tua domanda...","បញ្ចូលសំណួររបស់អ្នក...","질문을 입력하세요...","Masukkan soalan anda...","Nhập câu hỏi của bạn..."
ai-input-hint,"You can ask questions by typing or voice input","您可以通过输入或语音输入提问","Puedes hacer preguntas escribiendo o por entrada de voz","Vous pouvez poser des questions en tapant ou par saisie vocale","Você pode fazer perguntas digitando ou por entrada de voz","يمكنك طرح الأسئلة عن طريق الكتابة أو الإدخال الصوتي","Вы можете задавать вопросы, вводя текст или голосом","คุณสามารถถามคำถามโดยการพิมพ์หรือป้อนเสียง","Anda dapat mengajukan pertanyaan dengan mengetik atau input suara","Sie können Fragen durch Tippen oder Spracheingabe stellen","Puoi porre domande digitando o tramite input vocale","អ្នកអាចសួរសំណួរដោយវាយឬបញ្ចូលសម្លេង","입력하거나 음성 입력으로 질문할 수 있습니다","Anda boleh bertanya dengan menaip atau input suara","Bạn có thể đặt câu hỏi bằng cách nhập hoặc nhập giọng nói"
ai-voice-or-text,"Voice or text，ask as you like","语音或文字，随你选择","Voz o texto, pregunta como quieras","Voix ou texte, demandez comme vous voulez","Voz ou texto, pergunte como quiser","صوت أو نص، اسأل كما تريد","Голос или текст, спрашивайте как хотите","เสียงหรือข้อความ ถามตามที่คุณต้องการ","Suara atau teks, tanya sesuka Anda","Stimme oder Text, fragen Sie, wie Sie möchten","Voce o testo, chiedi come preferisci","សម្លេងឬអត្ថបទ សួរតាមចិត្តអ្នក","음성 또는 텍스트, 원하는 대로 질문하세요","Suara atau teks, tanya mengikut kehendak anda","Giọng nói hoặc văn bản, hỏi tùy thích"
ai-features-description,"Operations or reports，instant answers","运营或报表，即时回答","Operaciones o informes, respuestas instantáneas","Opérations ou rapports, réponses instantanées","Operações ou relatórios, respostas instantâneas","العمليات أو التقارير، إجابات فورية","Операции или отчеты, мгновенные ответы","การดำเนินงานหรือรายงาน คำตอบทันที","Operasi atau laporan, jawaban instan","Betrieb oder Berichte, sofortige Antworten","Operazioni o report, risposte istantanee","ប្រតិបត្តិការឬរបាយការណ៍ ចម្លើយភ្លាមៗ","운영 또는 보고서, 즉시 답변","Operasi atau laporan, jawapan segera","Vận hành hoặc báo cáo, câu trả lời tức thì"
ai-start-experience,Start Experience,开始体验,Comenzar Experiencia,Commencer l'Expérience,Iniciar Experiência,بدء التجربة,Начать Опыт,เริ่มต้นประสบการณ์,Mulai Pengalaman,Erfahrung starten,Inizia Esperienza,ចាប់ផ្តើមបទពិសោធន៍,경험 시작하기,"Mula Pengalaman","Bắt đầu Trải nghiệm"
ai-assistant,AI Assistant,AI助手,Asistente de IA,Assistant IA,Assistente de IA,مساعد الذكاء الاصطناعي,ИИ-помощник,ผู้ช่วย AI ของคุณ,Asisten AI,KI-Assistent,Assistente IA,អ្នកជំនួយ AI របស់អ្នក,AI 어시스턴트,Pembantu AI anda,Trợ lý AI của bạn
